305.640, 129.520, 4.780,  4.379 False
305.480, 129.526, 4.806,  4.412 False
305.319, 129.530, 4.835,  4.445 False
305.157, 129.536, 4.861,  4.478 False
304.995, 129.541, 4.889,  4.511 False
304.831, 129.547, 4.916,  4.544 False
304.666, 129.553, 4.944,  4.577 False
304.501, 129.560, 4.970,  4.610 False
304.335, 129.566, 4.999,  4.643 False
304.168, 129.574, 5.025,  4.676 False
304.000, 129.581, 5.053,  4.709 False
303.831, 129.589, 5.079,  4.742 False
303.661, 129.596, 5.107,  4.775 False
303.490, 129.605, 5.129,  4.808 False
303.319, 129.612, 5.141,  4.841 False
303.149, 129.621, 5.140,  4.874 False
302.978, 129.629, 5.133,  4.907 False
302.808, 129.638, 5.126,  4.940 False
302.637, 129.646, 5.122,  4.973 False
302.467, 129.656, 5.122,  5.006 False
302.297, 129.664, 5.128,  5.039 False
302.126, 129.674, 5.140,  5.072 False
301.954, 129.683, 5.157,  5.105 False
301.782, 129.693, 5.180,  5.138 False
301.609, 129.703, 5.209,  5.171 False
301.434, 129.713, 5.242,  5.204 False
301.259, 129.724, 5.280,  5.237 False
301.082, 129.735, 5.323,  5.270 False
300.903, 129.745, 5.369,  5.303 False
300.723, 129.757, 5.418,  5.336 False
300.541, 129.768, 5.470,  5.369 False
300.358, 129.780, 5.523,  5.402 False
300.173, 129.791, 5.576,  5.435 False
299.986, 129.804, 5.628,  5.468 False
299.797, 129.815, 5.680,  5.501 False
299.607, 129.828, 5.729,  5.534 False
299.415, 129.840, 5.777,  5.567 False
299.221, 129.853, 5.821,  5.600 False
299.027, 129.866, 5.862,  5.633 False
298.831, 129.879, 5.900,  5.666 False
298.634, 129.892, 5.935,  5.699 False
298.436, 129.906, 5.966,  5.732 False
298.237, 129.919, 5.995,  5.765 False
298.037, 129.934, 6.021,  5.798 False
297.836, 129.947, 6.046,  5.831 False
297.634, 129.962, 6.068,  5.864 False
297.432, 129.976, 6.089,  5.897 False
297.229, 129.990, 6.108,  5.930 False
297.026, 130.004, 6.127,  5.963 False
296.822, 130.018, 6.145,  5.996 False
296.617, 130.032, 6.163,  6.029 False
296.412, 130.047, 6.181,  6.062 False
296.206, 130.061, 6.199,  6.095 False
296.000, 130.076, 6.218,  6.128 False
295.792, 130.090, 6.238,  6.161 False
295.584, 130.105, 6.259,  6.194 False
295.376, 130.120, 6.281,  6.227 False
295.166, 130.134, 6.303,  6.260 False
294.956, 130.149, 6.328,  6.293 False
294.745, 130.164, 6.353,  6.326 False
294.533, 130.179, 6.379,  6.359 False
294.320, 130.194, 6.407,  6.392 False
294.107, 130.209, 6.435,  6.425 False
293.892, 130.224, 6.464,  6.458 False
293.676, 130.239, 6.495,  6.491 False
293.459, 130.253, 6.526,  6.524 False
293.242, 130.269, 6.557,  6.557 False
293.023, 130.283, 6.589,  6.590 False
292.803, 130.299, 6.621,  6.623 False
292.582, 130.313, 6.653,  6.656 False
292.359, 130.329, 6.685,  6.689 False
292.136, 130.344, 6.717,  6.722 False
291.912, 130.359, 6.748,  6.755 False
291.687, 130.374, 6.778,  6.788 False
291.461, 130.389, 6.808,  6.821 False
291.234, 130.404, 6.837,  6.854 False
291.005, 130.419, 6.865,  6.887 False
290.776, 130.433, 6.893,  6.920 False
290.546, 130.448, 6.919,  6.953 False
290.316, 130.463, 6.945,  6.986 False
290.084, 130.477, 6.970,  7.019 False
289.852, 130.492, 6.995,  7.052 False
289.618, 130.507, 7.019,  7.085 False
289.384, 130.521, 7.043,  7.118 False
289.149, 130.535, 7.068,  7.151 False
288.914, 130.549, 7.091,  7.184 False
288.677, 130.564, 7.116,  7.217 False
288.440, 130.578, 7.140,  7.250 False
288.202, 130.592, 7.165,  7.283 False
287.962, 130.606, 7.190,  7.316 False
287.723, 130.620, 7.216,  7.349 False
287.482, 130.633, 7.241,  7.382 False
287.240, 130.647, 7.268,  7.415 False
286.998, 130.660, 7.294,  7.448 False
286.754, 130.674, 7.322,  7.481 False
286.510, 130.687, 7.349,  7.514 False
286.264, 130.700, 7.377,  7.547 False
286.018, 130.713, 7.404,  7.580 False
285.771, 130.726, 7.433,  7.613 False
285.523, 130.738, 7.461,  7.646 False
285.274, 130.751, 7.489,  7.679 False
285.024, 130.763, 7.517,  7.712 False
284.773, 130.776, 7.546,  7.745 False
284.521, 130.785, 7.570,  7.778 False
284.268, 130.795, 7.598,  7.811 False
284.014, 130.802, 7.623,  7.844 False
283.759, 130.812, 7.652,  7.877 False
283.504, 130.818, 7.676,  7.910 False
283.247, 130.826, 7.705,  7.943 False
282.990, 130.831, 7.730,  7.976 False
282.732, 130.837, 7.758,  8.009 False
282.473, 130.841, 7.783,  8.042 False
282.212, 130.846, 7.812,  8.075 False
281.951, 130.851, 7.840,  8.108 False
281.689, 130.858, 7.868,  8.141 False
281.427, 130.861, 7.892,  8.174 False
281.163, 130.864, 7.921,  8.207 False
280.898, 130.865, 7.948,  8.240 False
280.633, 130.868, 7.976,  8.273 False
280.366, 130.868, 8.002,  8.306 False
280.099, 130.870, 8.031,  8.339 False
279.830, 130.869, 8.057,  8.372 False
279.561, 130.869, 8.085,  8.405 False
279.291, 130.866, 8.109,  8.438 False
279.020, 130.864, 8.139,  8.471 False
278.748, 130.858, 8.163,  8.504 False
278.475, 130.855, 8.190,  8.537 False
278.202, 130.848, 8.214,  8.570 False
277.928, 130.844, 8.238,  8.603 False
277.653, 130.836, 8.258,  8.636 False
277.377, 130.830, 8.278,  8.669 False
277.101, 130.821, 8.293,  8.702 False
276.824, 130.814, 8.308,  8.735 False
276.547, 130.803, 8.317,  8.768 False
276.270, 130.795, 8.326,  8.801 False
275.993, 130.783, 8.330,  8.834 False
275.716, 130.773, 8.334,  8.867 False
275.438, 130.762, 8.334,  8.900 False
275.161, 130.751, 8.333,  8.933 False
274.884, 130.739, 8.330,  8.966 False
274.606, 130.727, 8.326,  8.999 False
274.329, 130.714, 8.320,  9.032 False
274.053, 130.701, 8.315,  9.065 False
273.776, 130.687, 8.308,  9.098 False
273.500, 130.674, 8.301,  9.131 False
273.224, 130.659, 8.294,  9.164 False
272.948, 130.646, 8.288,  9.197 False
